Year,Name,Mileage,Rating,Review Count,Price
2023,Mercedes-Benz AMG E 53 E 53 AMG,2435,,,68398
2018,Mercedes-Benz AMG E 63 S 4MATIC,19454,5,1502,73990
2019,Mercedes-Benz AMG E 53 Base 4MATIC,8257,,,49500
2023,Mercedes-Benz AMG GLB 35 Base,3676,4.4,2963,48846
2023,Mercedes-Benz GLB 250 Base 4MATIC,2900,3.9,1800,45900
2022,Mercedes-Benz AMG GT 53 Base,1533,4.4,2963,93888
2024,Mercedes-Benz C-Class C 300 4MATIC,2195,4.6,696,47222
2021,Mercedes-Benz CLA 250 Base 4MATIC,29414,4.2,862,33951
2020,Mercedes-Benz AMG CLS 53 Base 4MATIC,29065,4.5,344,59900
2020,Mercedes-Benz GLC 300 Base 4MATIC,16340,4.7,29,37650
2023,Mercedes-Benz EQE 350+ Base,5848,,15,59700
2020,Mercedes-Benz GLC 300 Base 4MATIC,49726,4.8,902,27412
2023,Mercedes-Benz Sprinter 2500 Standard Roof,31830,4.7,662,57453
2023,Mercedes-Benz GLB 250 Base,15393,4.8,894,44196
2020,Mercedes-Benz AMG GLC 43 Base 4MATIC,39115,5,1502,45551
2023,Mercedes-Benz GLB 250 Base,10827,4.6,1915,39864
2022,Mercedes-Benz GLE 350 Base,72646,,15,41929
2023,Mercedes-Benz GLB 250 Base,7633,4.6,1915,44777
2021,Mercedes-Benz A-Class A 220 4MATIC,16385,,37,30400
2021,Mercedes-Benz GLA 250 Base 4MATIC,23056,,150,31336
2023,Mercedes-Benz AMG GT 53 Base,2489,4.7,1239,107999
2022,Mercedes-Benz AMG GT 53 Base,14344,4.7,1239,89999
2022,Mercedes-Benz EQS 580 Base 4MATIC,6451,4.9,2166,98444
2021,Mercedes-Benz AMG GLS 63 Base 4MATIC,18228,4.8,969,99795
2023,Mercedes-Benz AMG C 63 S,5462,4.3,1152,105999
2023,Mercedes-Benz CLA 250 Base 4MATIC,4497,3.9,1800,43900
2023,Mercedes-Benz C-Class C 300 4MATIC,5146,4.6,696,47222
2023,Mercedes-Benz GLS 450 4MATIC,15581,4.7,110,78899
2024,Mercedes-Benz C-Class C 300 4MATIC,4140,4.6,696,44222
2019,Mercedes-Benz G-Class G 550 4MATIC,35705,4.5,843,112498
2024,Mercedes-Benz C-Class C 300 4MATIC,2355,4.6,696,46888
2021,Mercedes-Benz AMG E 53 Base 4MATIC,29348,4.8,2468,67983
2024,Mercedes-Benz C-Class C 300 4MATIC,2333,4.6,696,55089
2020,Mercedes-Benz AMG E 53 ,7780,,50,68274
2021,Mercedes-Benz AMG E 53 Base 4MATIC,28718,4.7,1424,76777
2023,Mercedes-Benz GLB 250 Base,6483,4.6,1915,46777
2023,Mercedes-Benz AMG G 63 4MATIC,6989,4.7,557,199865
2021,Mercedes-Benz AMG G 63 Base,15556,4.7,557,178899
2023,Mercedes-Benz C-Class C 300 4MATIC,4885,4.6,696,43888
2023,Mercedes-Benz EQS 580 Base 4MATIC,7200,4.8,788,92499
2021,Mercedes-Benz AMG GLC 43 Base 4MATIC,26280,4.3,112,48998
2021,Mercedes-Benz E-Class E 450 4MATIC,5696,4.2,862,61991
2018,Mercedes-Benz AMG GLE 43 Coupe 4MATIC,89199,4.4,297,33797
2023,Mercedes-Benz AMG SL 55 Base,892,4.3,419,125997
2020,Mercedes-Benz AMG G 63 Base,35775,4.2,821,149995
2021,Mercedes-Benz A-Class A 220 4MATIC,14494,3.7,113,30880
2023,Mercedes-Benz GLB 250 Base 4MATIC,4108,3.9,1800,46900
2019,Mercedes-Benz Maybach S 560 Base 4MATIC,14908,4.8,2059,93882
2024,Mercedes-Benz GLC 300 Base 4MATIC,5674,4,526,53445
2020,Mercedes-Benz AMG E 53 4MATIC,30882,4.9,2506,50754
2021,Mercedes-Benz AMG GT 63 4-Door,45396,4.6,5510,108337
2021,Mercedes-Benz GLC 300 Base,3600,4,526,38740
2023,Mercedes-Benz GLA 250 Base 4MATIC,11525,5,98,38997
2023,Mercedes-Benz GLB 250 Base,12603,4.8,894,47721
2022,Mercedes-Benz A-Class A 220,15069,4,526,34600
2021,Mercedes-Benz GLB 250 Base,39256,4.4,297,29397
2024,Mercedes-Benz Maybach GLS 600 4MATIC,1661,3.7,113,173880
2019,Mercedes-Benz AMG SLC 43 Base,8544,4.7,244,48995
2024,Mercedes-Benz C-Class C 300 4MATIC,3990,4.6,696,50888
2021,Mercedes-Benz AMG G 63 Base,49180,4.5,991,164882
2023,Mercedes-Benz AMG E 63 S 4MATIC,8712,4.9,2166,157771
2022,Mercedes-Benz AMG GLC 43 4MATIC Coupe,30349,4.9,911,58702
2022,Mercedes-Benz CLA 250 Base,9905,4.1,522,35595
2020,Mercedes-Benz AMG E 53 Base 4MATIC,37037,4.8,1905,60146
2019,Mercedes-Benz AMG S 63 Base 4MATIC,30978,4.7,2931,79987
2023,Mercedes-Benz C-Class C 300 4MATIC,3699,4.6,696,46888
2020,Mercedes-Benz AMG E 53 Base 4MATIC,21275,4.7,1424,60977
2022,Mercedes-Benz GLB 250 Base,16300,4.9,1411,36295
2022,Mercedes-Benz AMG GT 53 Base,11705,4.8,752,85987
2023,Mercedes-Benz Maybach GLS 600 4MATIC,2767,3.7,113,158880
2022,Mercedes-Benz AMG GLE 53 4MATIC,29629,3.8,65,65987
2020,Mercedes-Benz GLC 300 Base 4MATIC,42188,4.8,184,30502
2022,Mercedes-Benz GLB 250 Base,25426,4.8,894,35887
2019,Mercedes-Benz AMG SLC 43 Base,13804,4,526,49995
2022,Mercedes-Benz A-Class 4MATIC,21287,4.8,527,35000
2020,Mercedes-Benz SL 450 Base,23695,4.6,1276,67500
2021,Mercedes-Benz AMG C 43 Base 4MATIC,21944,4.7,318,45955
2021,Mercedes-Benz AMG GT 53 Base,26835,4.8,5398,79894
2020,Mercedes-Benz SL 450 Base,23508,4.5,501,64911
2023,Mercedes-Benz AMG GLA 45 Base,5936,4.9,2375,54750
2023,Mercedes-Benz AMG GLE 63 S-Model 4MATIC,6190,4.8,558,108946
2020,Mercedes-Benz SL 450 Base,47210,4.5,819,58998
2021,Mercedes-Benz G-Class G 550 4MATIC,21717,4.8,1354,139994
2024,Mercedes-Benz C-Class C 300 4MATIC,3036,4.6,696,52888
2023,Mercedes-Benz GLB 250 Base,6695,4.7,110,41069
2021,Mercedes-Benz AMG C 63 S,14150,4.6,122,79998
2024,Mercedes-Benz AMG GT 43 Base,346,4.5,1050,101998
2023,Mercedes-Benz AMG SL 55 Base,3643,4.9,848,119899
2024,Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC,4354,3.9,1800,78900
2023,Mercedes-Benz EQE 500 4MATIC,2454,4.7,192,87902
2023,Mercedes-Benz GLB 250 ,8859,4.9,911,39955
2021,Mercedes-Benz AMG E 53 Base 4MATIC,39499,3.6,1405,64992
2023,Mercedes-Benz EQE 350 4MATIC,4143,4.7,192,77900
2023,Mercedes-Benz AMG GLS 63 4MATIC,7830,4.9,322,135990
2018,Mercedes-Benz GLA 250 Base,55945,4.8,902,20657
2023,Mercedes-Benz GLA 250 Base 4MATIC,12750,4.8,902,37870
2023,Mercedes-Benz AMG E 53 E 53 AMG,1233,,,69795
2022,Mercedes-Benz S-Class S 500 4MATIC,10083,4.7,1371,84690
2023,Mercedes-Benz AMG CLA 45 Base 4MATIC,1999,4.8,1354,61992
2023,Mercedes-Benz EQS 450+ 4MATIC,7301,4.4,654,73499
2022,Mercedes-Benz E-Class E 350 4MATIC,17886,4.1,522,47399
2024,Mercedes-Benz AMG GLS 63 Base 4MATIC,8227,4.7,1014,130994
2019,Mercedes-Benz AMG SLC 43 Base,23795,4.9,2506,46519
2020,Mercedes-Benz A-Class A 220 4MATIC,28875,4.4,2339,29598
2022,Mercedes-Benz AMG SL 55 Base,1643,4.8,4576,119510
2023,Mercedes-Benz CLA 250 Base 4MATIC,21258,4.8,788,35878
2020,Mercedes-Benz GLE 450 4MATIC,39723,4.7,110,46999
2021,Mercedes-Benz GLE 350 Base,23311,4.3,352,50477
2022,Mercedes-Benz Maybach S 580 4MATIC,39468,4.3,1491,142106
2022,Mercedes-Benz GLB 250 Base,16300,4.9,1411,36295
2023,Mercedes-Benz Sprinter 2500 Standard Roof,10636,4.8,752,52988
2019,Mercedes-Benz C-Class C 300,46120,,5,24862
2021,Mercedes-Benz GLS 450 4MATIC,37252,3.2,98,54495
2019,Mercedes-Benz AMG GT C,9153,4.5,615,86881
2023,Mercedes-Benz GLC 300 ,8400,,11,46999
2017,Mercedes-Benz AMG SLC 43 Base,56278,4.8,295,33316
2020,Mercedes-Benz GLB 250 Base,32012,4.7,1371,32390
2022,Mercedes-Benz GLE 350 Base 4MATIC,27727,4.3,352,53436
2021,Mercedes-Benz GLE 350 Base 4MATIC,35534,4.3,112,43497
2023,Mercedes-Benz GLS 580 Base 4MATIC,9797,4.1,522,98995
2020,Mercedes-Benz C-Class C 300,41105,4.5,344,28975
2023,Mercedes-Benz C-Class 4MATIC Coupe,4508,4.7,110,45999
2021,Mercedes-Benz AMG GT 43 Base,13074,4.6,1915,79876
2018,Mercedes-Benz G-Class ,46601,4.8,558,81921
2021,Mercedes-Benz AMG GLE 63 Base 4MATIC,37229,4.4,654,85175
2024,Mercedes-Benz GLE 350 Base 4MATIC,2287,4.8,420,71998
2023,Mercedes-Benz GLB 250 Base 4MATIC,7957,4.6,122,48998
2018,Mercedes-Benz AMG GT Base,12817,4.6,483,80991
2023,Mercedes-Benz GLB 250 Base,18139,4.9,911,39843
2023,Mercedes-Benz EQE 350 4MATIC,2133,4.7,192,77802
2023,Mercedes-Benz E-Class E 350 4MATIC,4138,3.9,1800,57900
2019,Mercedes-Benz S-Class 4MATIC,12205,4,526,74995
2023,Mercedes-Benz AMG GLA 45 Base,6348,4.2,821,52000
2019,Mercedes-Benz AMG SLC 43 Base,23016,4.9,2506,45712
2023,Mercedes-Benz S-Class 4MATIC,5147,4,526,106777
2023,Mercedes-Benz E-Class E 350 4MATIC,3208,4.4,295,57642
2019,Mercedes-Benz AMG SLC 43 Base,18737,4.6,5510,49999
2021,Mercedes-Benz AMG GLA 45 Base,19441,4.7,1424,44777
2021,Mercedes-Benz AMG CLA 45 AMG CLA 45 4MATIC,32076,4.5,615,49881
2021,Mercedes-Benz AMG GT C,16610,4.5,775,126995
2021,Mercedes-Benz GLB 250 Base,37968,4.3,112,30955
2020,Mercedes-Benz GLC 300 ,47672,,8,28990
2023,Mercedes-Benz AMG GT 53 AMG GT 53,4164,4.9,977,104900
2023,Mercedes-Benz E-Class E 350 4MATIC,5314,4.4,295,64443
2022,Mercedes-Benz A-Class A 220 4MATIC,9491,4.8,752,34988
2023,Mercedes-Benz AMG GLE 53 4MATIC,21501,4.3,112,79997
2022,Mercedes-Benz GLE 350 Base 4MATIC,19356,,11,58997
2020,Mercedes-Benz GLE 350 Base 4MATIC,49751,,60,41994
2021,Mercedes-Benz Maybach GLS 600 4MATIC,28862,4.8,823,127500
2019,Mercedes-Benz E-Class E 300,72271,4.7,557,27620
2024,Mercedes-Benz C-Class C 300,1638,4.6,348,44990
2023,Mercedes-Benz E-Class E 63 AMG 4MATIC,1099,3.9,1800,164900
2022,Mercedes-Benz Maybach S 580 4MATIC,6488,4.9,1411,177595
2023,Mercedes-Benz AMG G 63 4MATIC,7077,4.7,662,223414
2022,Mercedes-Benz EQS 580 Base 4MATIC,9911,4.3,1491,72555
2020,Mercedes-Benz GLC 350e Base 4MATIC,24993,4.7,285,32998
2021,Mercedes-Benz AMG GT AMG GT 43,29118,4.3,133,73890
2018,Mercedes-Benz GLS 550 Base 4MATIC,55262,4.4,129,36991
2022,Mercedes-Benz EQS 580 Base 4MATIC,2810,4.3,1491,77033
2021,Mercedes-Benz S-Class S 580 4MATIC,31036,4.9,4585,85500
2023,Mercedes-Benz EQS 580 Base 4MATIC,12000,4.3,1491,89888
2021,Mercedes-Benz A-Class A 220 4MATIC,37628,4.8,752,28988
2023,Mercedes-Benz EQB 300 4MATIC,2878,4.4,297,51897
2023,Mercedes-Benz AMG GLA 45 Base,4000,4.8,1291,55900
2021,Mercedes-Benz S-Class S 580 4MATIC,13297,4.1,522,89995
2023,Mercedes-Benz GLE 350 Base,16655,,15,61805
2020,Mercedes-Benz AMG GT 63 4-Door,27265,4.7,1239,98999
2023,Mercedes-Benz AMG SL 63 Base,2912,3.4,468,164994
2023,Mercedes-Benz GLC 300 Base 4MATIC,2518,3.2,98,49995
2024,Mercedes-Benz GLE 450 Plug-In Hybrid 4MATIC,3704,4,526,82980
2023,Mercedes-Benz AMG GLE 53 4MATIC Coupe,29694,,60,81994
2020,Mercedes-Benz G-Class G 550 4MATIC,66208,4.7,1371,125690
2020,Mercedes-Benz GLS 450 Base 4MATIC,39881,,37,50563
2023,Mercedes-Benz GLC 300 4MATIC Coupe,10489,4.8,184,50905
2020,Mercedes-Benz AMG S 63 Base 4MATIC,18039,4,3563,98509
2021,Mercedes-Benz AMG GT C,26307,4.7,29,75850
2022,Mercedes-Benz GLE 350 Base,43673,,15,49445
2022,Mercedes-Benz AMG E 53 4MATIC,30286,3.6,376,63987
2019,Mercedes-Benz AMG GLE 43 Base 4MATIC,59907,4.5,991,45375
2023,Mercedes-Benz EQB 300 Base 4MATIC,2199,4.7,2308,54777
2023,Mercedes-Benz GLE 350 Base 4MATIC,10799,5,98,61997
2021,Mercedes-Benz A-Class 4MATIC,25161,4.3,112,27477
2023,Mercedes-Benz EQB 300 4MATIC,6058,4,526,47995
2021,Mercedes-Benz AMG GT 63 4-Door,17898,4.7,1594,110950
2021,Mercedes-Benz CLA 250 Base,47054,4.6,483,30323
2019,Mercedes-Benz GLS 550 Base 4MATIC,49793,4.6,1847,45950
2022,Mercedes-Benz GLC 300 Base 4MATIC,15180,4.7,29,41850
2023,Mercedes-Benz CLA 250 Base 4MATIC,9700,,11,39999
2022,Mercedes-Benz AMG SL 63 Base,588,4.6,673,144870
2022,Mercedes-Benz S-Class S 500 4MATIC,25804,4.8,1354,80594
2023,Mercedes-Benz EQS 580 Base 4MATIC,6307,4.9,2166,109554
2021,Mercedes-Benz AMG GLE 53 4MATIC Coupe,46381,4.8,558,66413
2019,Mercedes-Benz AMG GT 63 S 4-Door,37000,4.9,2054,99997
2023,Mercedes-Benz EQE 500 Base 4MATIC,9649,4.9,1411,65595
2023,Mercedes-Benz GLS 580 4MATIC,10998,4.7,244,99998
2023,Mercedes-Benz EQS 450 Base 4MATIC,5439,4,3563,103044
2021,Mercedes-Benz GLE 350 ,25037,,60,50994
2024,Mercedes-Benz GLE 450 4MATIC,515,4.7,2891,75998
2021,Mercedes-Benz AMG GT R,2183,4.5,615,123881
2022,Mercedes-Benz E-Class E 350 4MATIC,2953,4.8,1354,50194
2020,Mercedes-Benz GLE 350 ,36812,4.9,848,45142
2021,Mercedes-Benz GLE 580 AWD 4MATIC,44675,2.7,59,62000
2023,Mercedes-Benz EQB 350 Base 4MATIC,1581,4.4,1515,63777
2023,Mercedes-Benz E-Class E 350 4MATIC,3493,3,471,57499
2023,Mercedes-Benz S-Class S 500 4MATIC,3284,,1,103500
2016,Mercedes-Benz GLC-Class GLC 300 4MATIC,77307,4.7,557,18578
2023,Mercedes-Benz GLS 580 4MATIC,6182,4.7,662,96713
2023,Mercedes-Benz EQB 250 Base,1899,4.5,2204,49988
2017,Mercedes-Benz AMG SLC 43 Base,42066,3.1,133,35999
2024,Mercedes-Benz GLE 450 4MATIC,7551,4,147,73800
2020,Mercedes-Benz AMG GT Base,24144,4.3,419,89597
2021,Mercedes-Benz AMG GT 43 Base,13816,4.2,821,72490
2023,Mercedes-Benz GLB 250 Base 4MATIC,5492,4.7,316,42640
2023,Mercedes-Benz Metris Base,4385,4.3,1491,48932
2023,Mercedes-Benz EQE 500 Base 4MATIC,9649,4.9,1411,65595
2021,Mercedes-Benz G-Class G 550 4MATIC,10218,4.7,557,159990
2024,Mercedes-Benz GLC 300 Base 4MATIC,375,4,526,56998
2023,Mercedes-Benz EQE 350+ ,6540,5,10,60495
2019,Mercedes-Benz E-Class E 300,25035,4.3,352,34551
2019,Mercedes-Benz AMG GLE 43 Coupe 4MATIC,45827,4.7,29,48350
2023,Mercedes-Benz CLA 250 ,10200,,11,41999
2020,Mercedes-Benz GLE 350 Base 4MATIC,27066,4.7,110,43399
2021,Mercedes-Benz AMG E 63 S 4MATIC,39325,4,3563,86925
2023,Mercedes-Benz EQB 250 Base,2897,4.9,2166,52744
2024,Mercedes-Benz AMG GLE 53 ,134,,,89900
2020,Mercedes-Benz AMG GLC 63 S 4MATIC,43747,4.3,1491,57007
2019,Mercedes-Benz GLC 350e Base 4MATIC,27751,,2,28484
2019,Mercedes-Benz GLC 350e Base 4MATIC,52646,4.3,1491,24999
2023,Mercedes-Benz EQB 250 Base,982,4.4,2963,49988
2021,Mercedes-Benz G-Class G 550 4MATIC,39865,4.3,419,128887
2022,Mercedes-Benz GLS 450 4MATIC,45751,4.4,203,61998
2021,Mercedes-Benz GLE 350 Base 4MATIC,17741,4.5,272,46995
2020,Mercedes-Benz AMG A 35 Base,25738,3.4,1008,43495
2021,Mercedes-Benz GLE 350 Base 4MATIC,37048,4.1,1248,47647
